symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
A0A1U9X845,GO:0031965,nuclear membrane,IDA,ECO:0000314,GO_REF:0000052,A0A1U9X845,HPA,1
A1CF,GO:0030895,apolipoprotein B mRNA editing enzyme complex,IDA,ECO:0000314,PMID:10781591;PMID:24916387,Q9NQ94,UniProt,2
AAAS,GO:0005635;GO:0005643;GO:0031965,nuclear envelope;nuclear membrane;nuclear pore,IBA;IDA;NAS;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0005547,GO_REF:0000033;GO_REF:0000052;PMID:12730363;PMID:24315095;PMID:27754849;Reactome:R-HSA-1176059;Reactome:R-HSA-165043;Reactome:R-HSA-165047;Reactome:R-HSA-170796;Reactome:R-HSA-170825;Reactome:R-HSA-180622;Reactome:R-HSA-192627;Reactome:R-HSA-192925;Reactome:R-HSA-2990880;Reactome:R-HSA-2990882;Reactome:R-HSA-3000348;Reactome:R-HSA-3000399;Reactome:R-HSA-3000411;Reactome:R-HSA-4551649;Reactome:R-HSA-4551679;Reactome:R-HSA-4570493;Reactome:R-HSA-4615872;Reactome:R-HSA-4615987;Reactome:R-HSA-4655355;Reactome:R-HSA-5228508;Reactome:R-HSA-5228523;Reactome:R-HSA-5252041;Reactome:R-HSA-5578744;Reactome:R-HSA-5661474;Reactome:R-HSA-6783483;Reactome:R-HSA-75096;Reactome:R-HSA-75097;Reactome:R-HSA-75098;Reactome:R-HSA-9614367;Reactome:R-HSA-9614369;Reactome:R-HSA-9708889,F8VUB6;F8VZ44;H3BU82;Q9NRG9,ComplexPortal;GO_Central;HPA;MGI;Reactome;UniProt,41
AAR2,GO:0005682,U5 snRNP,ISS;NAS,ECO:0000250;ECO:0005547,GO_REF:0000024;PMID:36322420,Q9Y312,ComplexPortal;FlyBase,2
AATF,GO:0032040,small-subunit processome,IDA;NAS,ECO:0000314;ECO:0005547,PMID:34516797,Q9NY61,ComplexPortal;UniProt,2
ABRAXAS1,GO:0070531,BRCA1-A complex,IDA;NAS,ECO:0000314;ECO:0005547,PMID:17525340;PMID:19261746;PMID:19261748;PMID:19261749;PMID:20656689,Q6UWZ7,ComplexPortal;UniProt,5
ABRAXAS2,GO:0070552,BRISC complex,IDA;IPI;NAS,ECO:0000314;ECO:0000353;ECO:0005547,PMID:19214193;PMID:24075985;PMID:31253574,Q15018,ComplexPortal;UniProt,4
ACD,GO:0000783;GO:0070187,nuclear telomere cap complex;shelterin complex,IBA;IDA;IMP;IPI;TAS,ECO:0000304;ECO:0000314;ECO:0000315;ECO:0000318;ECO:0000353,GO_REF:0000033;PMID:15383534;PMID:16880378;PMID:17237768;PMID:21852327;PMID:23685356,Q96AP0,BHF-UCL;ComplexPortal;GO_Central,7
ACTB,GO:0016514;GO:0016586;GO:0035060;GO:0071564;GO:0071565;GO:0140092;GO:0140288,bBAF complex;brahma complex;GBAF complex;nBAF complex;npBAF complex;RSC-type complex;SWI/SNF complex,NAS,ECO:0005547,PMID:12368262;PMID:17920018;PMID:29374058;PMID:8804307,P60709,ComplexPortal,7
ACTL6A,GO:0016514;GO:0016586;GO:0031011;GO:0035060;GO:0071564;GO:0140288,brahma complex;GBAF complex;Ino80 complex;npBAF complex;RSC-type complex;SWI/SNF complex,IBA;IDA;ISS;NAS,ECO:0000250;ECO:0000314;ECO:0000318;ECO:0005547,GO_REF:0000024;GO_REF:0000033;PMID:11078522;PMID:18026119;PMID:18816825;PMID:21303910;PMID:29374058;PMID:8804307;PMID:8895581,O96019,BHF-UCL;ComplexPortal;GO_Central;UniProt,15
