GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A023T787	RBM8	located_in	GO:0016607	nuclear speck	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024QYX0	EBP	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024QZ33	NSRP1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024QZ42	PDCD6	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024QZC1	CD2BP2	located_in	GO:0016607	nuclear speck	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024QZP7	CDK1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024R0H7	A0A024R0H7	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024R1A3	A0A024R1A3	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024R1X5	BECN1	located_in	GO:0016604	nuclear body	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024R214	CPEB1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024R274	SMAD4	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024R2D7	A0A024R2D7	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
