gene_id,symbol,all_symbols,go_ids,go_names
10000,AKT3,AKT3,GO:0005654,nucleoplasm
10001,MED6,MED6,GO:0005654;GO:0016592;GO:0070847,core mediator complex;mediator complex;nucleoplasm
10002,NR2E3,NR2E3,GO:0005654,nucleoplasm
100033411,DUXB,DUXB,GO:0005654,nucleoplasm
10009,ZBTB33,ZBTB33,GO:0005654,nucleoplasm
10010,TANK,TANK,GO:0005730;GO:0006974,DNA damage response;nucleolus
100101267,POM121C,POM121C,GO:0005635;GO:0005643;GO:0017056;GO:0031965,nuclear envelope;nuclear membrane;nuclear pore;structural constituent of nuclear pore
100101467,ZSCAN30,ZSCAN30,GO:0005654,nucleoplasm
10011,SRA1,SRA1,GO:0005654,nucleoplasm
100125288,ZGLP1,ZGLP1,GO:0005654,nucleoplasm
100128927,ZBTB42,ZBTB42,GO:0005654,nucleoplasm
100129583,FAM47E,FAM47E,GO:0005654,nucleoplasm
10013,HDAC6,HDAC6,GO:0000118,histone deacetylase complex
100130932,SNRPGP15,SNRPGP15,GO:0005681;GO:0005682;GO:0005685;GO:0005686;GO:0005687;GO:0005689;GO:0030532;GO:0071004;GO:0071011;GO:0071013;GO:0097526,catalytic step 2 spliceosome;precatalytic spliceosome;small nuclear ribonucleoprotein complex;spliceosomal complex;spliceosomal tri-snRNP complex;U1 snRNP;U12-type spliceosomal complex;U2 snRNP;U2-type prespliceosome;U4 snRNP;U5 snRNP
100130958,SYCE1L,SYCE1L,GO:0000795,synaptonemal complex
100131211,NEMP2,NEMP2,GO:0005635;GO:0005637,nuclear envelope;nuclear inner membrane
100132074,FOXO6,FOXO6,GO:0005654,nucleoplasm
100133315,XNDC1N,XNDC1N,GO:0000012;GO:0005730,nucleolus;single strand break repair
100134934,TEN1,TEN1,GO:0005654;GO:1990879,CST complex;nucleoplasm
10014,HDAC5,HDAC5,GO:0000118;GO:0005654;GO:0016607,histone deacetylase complex;nuclear speck;nucleoplasm
100144748,KLLN,KLLN,GO:0005654;GO:0005730,nucleolus;nucleoplasm
10016,PDCD6,PDCD6,GO:0005654,nucleoplasm
10017,BCL2L10,BCL2L10,GO:0008630;GO:0031965,intrinsic apoptotic signaling pathway in response to DNA damage;nuclear membrane
100170841,EPOP,EPOP,GO:0005654;GO:0035098;GO:0070449,elongin complex;ESC/E(Z) complex;nucleoplasm
10018,BCL2L11,BCL2L11,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
10025,MED16,MED16,GO:0005654;GO:0016592;GO:0070847,core mediator complex;mediator complex;nucleoplasm
100288540,POM121B,POM121B,GO:0005643;GO:0017056,nuclear pore;structural constituent of nuclear pore
100288687,DUX4,DUX4,GO:0005654;GO:0005730;GO:0031965,nuclear membrane;nucleolus;nucleoplasm
