gene_id,symbol,all_symbols,source_group,go_ids,go_names
10010,TANK,TANK,GO10,GO:0006974,DNA damage response
100101267,POM121C,POM121C,GO10,GO:0005635;GO:0005643;GO:0017056;GO:0031965,nuclear envelope;nuclear membrane;nuclear pore;structural constituent of nuclear pore
100130958,SYCE1L,SYCE1L,GO10,GO:0000795,synaptonemal complex
100131211,NEMP2,NEMP2,GO10,GO:0005635;GO:0005637,nuclear envelope;nuclear inner membrane
10017,BCL2L10,BCL2L10,GO10,GO:0008630;GO:0031965,intrinsic apoptotic signaling pathway in response to DNA damage;nuclear membrane
10018,BCL2L11,BCL2L11,GO10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
10036,CHAF1A,CHAF1A,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
10038,PARP2,PARP2,GO10,GO:0006281;GO:0006284;GO:0006302;GO:0006974;GO:0140861,base-excision repair;DNA damage response;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair
10039,PARP3,PARP3,GO10,GO:0006281;GO:0006302;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining
100507436,MICA,MICA,GO10,GO:0006974,DNA damage response
100507650,RNF212B,RNF212B,GO10,GO:0000795,synaptonemal complex
10051,SMC4,SMC4,GO10,GO:0000794,condensed nuclear chromosome
10073,SNUPN,SNUPN,GO10,GO:0005643,nuclear pore
10075,HUWE1,HUWE1,GO10,GO:0006281;GO:0006284;GO:0006974,base-excision repair;DNA damage response;DNA repair
10111,RAD50,RAD50,GO10,GO:0000724;GO:0000729;GO:0000794;GO:0006281;GO:0006302;GO:0006974,condensed nuclear chromosome;DNA damage response;DNA double-strand break processing;DNA repair;double-strand break repair;double-strand break repair via homologous recombination
10128,LRPPRC,LRPPRC,GO10,GO:0000794;GO:0005637;GO:0005640,condensed nuclear chromosome;nuclear inner membrane;nuclear outer membrane
10155,TRIM28,TRIM28,GO10,GO:0006281,DNA repair
1017,CDK2,CDK2,GO10,GO:0005635;GO:0006281;GO:0006974;GO:0031571;GO:0043247,DNA damage response;DNA repair;mitotic G1 DNA damage checkpoint signaling;nuclear envelope;telomere maintenance in response to DNA damage
1018,CDK3,CDK3,GO10,GO:0006974,DNA damage response
1019,CDK4,CDK4,GO10,GO:0031965,nuclear membrane
101928601,MEI4,MEI4,GO10,GO:0000794;GO:0000800,condensed nuclear chromosome;lateral element
1020,CDK5,CDK5,GO10,GO:0046826,negative regulation of protein export from nucleus
10202,DHRS2,DHRS2,GO10,GO:0005635,nuclear envelope
10204,NUTF2,NUTF2,GO10,GO:0005637;GO:0005640;GO:0005643;GO:0017056;GO:0031965;GO:0044613,nuclear inner membrane;nuclear membrane;nuclear outer membrane;nuclear pore;nuclear pore central transport channel;structural constituent of nuclear pore
1021,CDK6,CDK6,GO10,GO:0006974,DNA damage response
10210,TOPORS,TOPORS,GO10,GO:0006974;GO:0008630;GO:0042771;GO:0051457,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;maintenance of protein location in nucleus
10213,PSMD14,PSMD14,GO10,GO:0000724;GO:0006281;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination;double-strand break repair via nonhomologous end joining
1022,CDK7,CDK7,GO10,GO:0006281;GO:0006289;GO:0006974,DNA damage response;DNA repair;nucleotide-excision repair
10227,MFSD10,MFSD10,GO10,GO:0005637,nuclear inner membrane
1025,CDK9,CDK9,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
1026,CDKN1A,CDKN1A,GO10,GO:0006974;GO:0007095;GO:0030330;GO:0031571;GO:0042771,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;mitotic G1 DNA damage checkpoint signaling;mitotic G2 DNA damage checkpoint signaling"
10269,ZMPSTE24,ZMPSTE24,GO10,GO:0005635;GO:0005637;GO:0006281;GO:0006974,DNA damage response;DNA repair;nuclear envelope;nuclear inner membrane
