GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A024RBG1	NUDT4B	GO:0005634	nucleus	C
UniProtKB	A0A087WUV0	ZNF892	GO:0005634	nucleus	C
UniProtKB	A0A087WUV0	ZNF892	GO:0005634	nucleus	C
UniProtKB	A0A087WUV0	ZNF892	GO:0005654	nucleoplasm	C
UniProtKB	A0A0C5B5G6	MT-RNR1	GO:0005634	nucleus	C
UniProtKB	A0A0C5B5G6	MT-RNR1	GO:0005634	nucleus	C
UniProtKB	A0A0J9YX57	MAGEB6B	GO:0005634	nucleus	C
UniProtKB	A0A0U1RQI7	KLF18	GO:0005634	nucleus	C
UniProtKB	A0A0U1RQI7	KLF18	GO:0005634	nucleus	C
UniProtKB	A0A1B0GTH6	CSNK2A2IP	GO:0005634	nucleus	C
UniProtKB	A0A1B0GTS1	HSFX4	GO:0005634	nucleus	C
UniProtKB	A0A1B0GTS1	HSFX4	GO:0005634	nucleus	C
UniProtKB	A0A1B0GTU1	ZC3H11B	GO:0005634	nucleus	C
UniProtKB	A0A1B0GUS4	UBE2L5	GO:0005634	nucleus	C
UniProtKB	A0A1B0GVS7	MDFIC2	GO:0005634	nucleus	C
UniProtKB	A0A1B0GVX0	LITAFD	GO:0005634	nucleus	C
UniProtKB	A0A1B0GVZ6	MBD3L2B	GO:0005634	nucleus	C
UniProtKB	A0A1B0GVZ6	MBD3L2B	GO:0005634	nucleus	C
UniProtKB	A0A1B0GWH4	HSFX3	GO:0005634	nucleus	C
UniProtKB	A0A1B0GWH4	HSFX3	GO:0005634	nucleus	C
UniProtKB	A0A1W2PP81	TAF11L5	GO:0005634	nucleus	C
UniProtKB	A0A1W2PP81	TAF11L5	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PP81	TAF11L5	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PPD8	KDM4F	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPD8	KDM4F	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPE2	TAF11L4	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPE2	TAF11L4	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PPE2	TAF11L4	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PPF3	DUXB	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPF3	DUXB	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPF3	DUXB	GO:0005654	nucleoplasm	C
UniProtKB	A0A1W2PPH5	TAF11L13	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPH5	TAF11L13	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PPH5	TAF11L13	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PPK0	CPHXL2	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPK0	CPHXL2	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPL8	TAF11L14	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPL8	TAF11L14	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PPL8	TAF11L14	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PPM1	CPHXL	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPM1	CPHXL	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPW3	TAF11L12	GO:0005634	nucleus	C
UniProtKB	A0A1W2PPW3	TAF11L12	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PPW3	TAF11L12	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PQ09	TAF11L11	GO:0005634	nucleus	C
UniProtKB	A0A1W2PQ09	TAF11L11	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PQ09	TAF11L11	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PQ27	SSU72L1	GO:0005634	nucleus	C
UniProtKB	A0A1W2PQ27	SSU72L1	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	C
UniProtKB	A0A1W2PQ64	SSU72L5	GO:0005634	nucleus	C
UniProtKB	A0A1W2PQ64	SSU72L5	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	C
UniProtKB	A0A1W2PQ73	ERFL	GO:0005634	nucleus	C
UniProtKB	A0A1W2PQ73	ERFL	GO:0005634	nucleus	C
UniProtKB	A0A1W2PQC6	SSU72L4	GO:0005634	nucleus	C
UniProtKB	A0A1W2PQC6	SSU72L4	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	C
UniProtKB	A0A1W2PQD8	SSU72L2	GO:0005634	nucleus	C
UniProtKB	A0A1W2PQD8	SSU72L2	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	C
UniProtKB	A0A1W2PQJ5	SSU72L3	GO:0005634	nucleus	C
UniProtKB	A0A1W2PQJ5	SSU72L3	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	C
UniProtKB	A0A1W2PQL4	ZNF722	GO:0005634	nucleus	C
UniProtKB	A0A1W2PR48	TLE7	GO:0005634	nucleus	C
UniProtKB	A0A1W2PR48	TLE7	GO:0005634	nucleus	C
UniProtKB	A0A1W2PR64	TAF11L9	GO:0005634	nucleus	C
UniProtKB	A0A1W2PR64	TAF11L9	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PR64	TAF11L9	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PR75	SSU72L6	GO:0005634	nucleus	C
UniProtKB	A0A1W2PR75	SSU72L6	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	C
UniProtKB	A0A1W2PRP0	FOXL3	GO:0005634	nucleus	C
UniProtKB	A0A1W2PRV1	TAF11L3	GO:0005634	nucleus	C
UniProtKB	A0A1W2PRV1	TAF11L3	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A1W2PRV1	TAF11L3	GO:0005669	transcription factor TFIID complex	C
UniProtKB	A0A2R8Y4L2	HNRNPA1L3	GO:0005634	nucleus	C
UniProtKB	A0A2R8Y4L2	HNRNPA1L3	GO:0005654	nucleoplasm	C
UniProtKB	A0A2R8Y4L2	HNRNPA1L3	GO:0071013	catalytic step 2 spliceosome	C
UniProtKB	A0A2R8Y619	H2BK1	GO:0005634	nucleus	C
UniProtKB	A0A2R8Y619	H2BK1	GO:0005634	nucleus	C
UniProtKB	A0A2Z4LIS9	FOXO3B	GO:0005634	nucleus	C
UniProtKB	A0A3B3IS91	POLGARF	GO:0005730	nucleolus	C
UniProtKB	A0A3B3IS91	POLGARF	GO:0005730	nucleolus	C
UniProtKB	A0A3B3IU46	RAMACL	GO:0005634	nucleus	C
UniProtKB	A0A3B3IU46	RAMACL	GO:0031533	mRNA capping enzyme complex	C
UniProtKB	A0A3B3IU46	RAMACL	GO:0031533	mRNA capping enzyme complex	C
UniProtKB	A0A3B3IU63	H2AL3	GO:0005634	nucleus	C
UniProtKB	A0A3B3IU63	H2AL3	GO:0005634	nucleus	C
